Timestamp,SimTime,Ideal_X,Ideal_Y,Ideal_Z,Noisy_X,Noisy_Y,Noisy_Z,Filt_X,Filt_Y,Filt_Z,Real_X,Real_Y,Real_Z,Error_Noisy_Ideal,Error_Filt_Ideal,Error_Real_Ideal,Error_Filt_Real,Command_Step,Injected_Outlier
1780934795.9721534,0.0,0.52,0.0,0.44999999999999996,0.5215235853987722,-0.005199920531202478,0.45375225597903224,0.5215235853987722,-0.005199920531202478,0.45375225597903224,0.519997898533793,6.203632734931751e-07,0.4500001578834002,0.006590896064296291,0.006590896064296291,2.19680176132087e-06,0.00659178171091342,0.0,0
1780934796.0218315,0.05,0.5196626581734649,0.008991564872729082,0.44996710252122685,0.5099074822301958,0.0024806673384174917,0.4506063045370633,0.5099074822301958,0.0024806673384174917,0.4506063045370633,0.5200586589845823,-0.0002005370820051476,0.45014553991816897,0.01174580025385631,0.01174580025385631,0.00920235811589953,0.010509402964817517,0.014276634523626043,0
1780934796.0723279,0.1,0.5186525293523251,0.01793257589683191,0.4498684245148288,0.5185685235648037,0.013667356258964009,0.4542654143891429,0.5185685235648037,0.013667356258964009,0.4542654143891429,0.5202867731140625,-0.0009599563158719181,0.450694208253424,0.006126391718329164,0.006126391718329164,0.018981054893333973,0.015154674788304692,0.014613169776419167,0
1780934796.122838,0.15000000000000002,0.5169752928482733,0.026772763455809458,0.4497040092642407,0.5173054463360793,0.03240896949064962,0.45204155597550094,0.5173054463360793,0.03240896949064962,0.45204155597550094,0.520291173723059,-0.0006013194058510445,0.45098413220951816,0.006110641899179068,0.006110641899179068,0.027603880039730844,0.03316190413834315,0.0189153106465567,0
1780934796.171446,0.2,0.5146403786950727,0.03546242479936075,0.44947392888742566,0.5164841326154852,0.030668011795215756,0.45386618039396204,0.5164841326154852,0.030668011795215756,0.45386618039396204,0.5200895035604376,0.0012686898881108717,0.45141358620167804,0.006758527788655019,0.006758527788655019,0.034679485859451534,0.029720936164937827,0.0026523092190336816,0
1780934796.221646,0.25,0.5116609146294777,0.043952703490325706,0.449178284305241,0.5107366028117514,0.040548055768306,0.45529099099861114,0.5107366028117514,0.040548055768306,0.45529099099861114,0.5198416881488579,0.0034798993810821665,0.4519216054786661,0.007057702286623808,0.007057702286623808,0.04138234815596084,0.038318449286547214,0.011518656736535127,0
1780934796.2744272,0.30000000000000004,0.5080536522823212,0.05219586409334763,0.44881720519717166,0.5859120131715057,-0.029564803659093516,0.5314787511249384,0.5859120131715057,-0.029564803659093516,0.5314787511249384,0.5191526443327803,0.007028371084258361,0.45232954337361353,0.13992734660116954,0.13992734660116954,0.04664361230359385,0.10982017507363954,0.12795206201117085,1
1780934796.3212886,0.35000000000000003,0.5038388729947529,0.06014556056085575,0.4483908499444482,0.5145471109991052,0.05811348547893267,0.44582963629909056,0.5145471109991052,0.05811348547893267,0.44582963629909056,0.5179454129849597,0.012490753532430572,0.45281617438185795,0.011196227294655706,0.011196227294655706,0.04989547674677615,0.04627951859118032,0.14183159915441576,0
1780934796.371784,0.4,0.4990402737891614,0.06775709680740426,0.4478994055605757,0.5021201709020389,0.07340195827100872,0.44732966827230136,0.5021201709020389,0.07340195827100872,0.44732966827230136,0.5165544905322028,0.018459199077950378,0.4533457573941826,0.006455604367280262,0.006455604367280262,0.05259936555664298,0.057124860605996676,0.019758955853252463,0
1780934796.4221504,0.45,0.49368483413589365,0.07498767800732398,0.4473430876093033,0.48956242805743744,0.07824064194644748,0.4510593584653205,0.48956242805743744,0.07824064194644748,0.4510593584653205,0.5153677917962297,0.023854159378278936,0.45315333412359005,0.006433247651086779,0.006433247651086779,0.055843946358075415,0.060234467025835806,0.013964968814787922,0
1780934796.474158,0.5,0.4878026642648585,0.0817966512028001,0.44672214011007083,0.48194668841304583,0.08451242254432607,0.4433945915736274,0.48194668841304583,0.08451242254432607,0.4433945915736274,0.5133985283481763,0.03269038595940476,0.45213686376293016,0.007262261797735894,0.007262261797735894,0.05564074744791995,0.06124678794962109,0.012493333170258445,0
1780934796.5218086,0.55,0.4814268358748608,0.08814573386958943,0.44603683543097405,0.4820102649205644,0.0892391768532345,0.450393979320715,0.4820102649205644,0.0892391768532345,0.450393979320715,0.5124173165544615,0.03569067307099714,0.45178579038565836,0.004529979016039723,0.004529979016039723,0.061196354296703906,0.06159519611482111,0.008446163454680071,0
1780934796.5718834,0.6000000000000001,0.47459319619247975,0.09399922915529801,0.44528747416929465,0.4779877640078392,0.09433712450274247,0.4467330711627446,0.4779877640078392,0.09433712450274247,0.4467330711627446,0.5079518979690977,0.04355832572383163,0.4505599588091008,0.003704998594651607,0.003704998594651607,0.06070326858976246,0.05908452249561804,0.007454651727015384,0
1780934796.6219513,0.65,0.467340166425921,0.09932422658007091,0.44447438501964875,0.46005438732664267,0.0977258704982844,0.4421225217481848,0.46005438732664267,0.0977258704982844,0.4421225217481848,0.502515191401877,0.052881276419544765,0.4490692714682458,0.007821034464527468,0.007821034464527468,0.05844093585106025,0.062146720206906585,0.018824100629673737,0
