Timestamp,SimTime,Ideal_X,Ideal_Y,Ideal_Z,Noisy_X,Noisy_Y,Noisy_Z,Filt_X,Filt_Y,Filt_Z,Real_X,Real_Y,Real_Z,Error_Noisy_Ideal,Error_Filt_Ideal,Error_Real_Ideal,Error_Filt_Real,Command_Step,Injected_Outlier
1780934839.3634596,0.0,0.52,0.0,0.44999999999999996,0.5215235853987722,-0.005199920531202478,0.45375225597903224,0.5215235367678568,-0.005199757800644675,0.4537521893660194,0.5199963091629755,1.0693445131383828e-06,0.45000028081242616,0.006590896064296291,0.00659071851218409,3.852873116047478e-06,0.006592256438083106,0.0,0
1780934839.4150531,0.05,0.5196626581734649,0.008991564872729082,0.44996710252122685,0.5099074822301958,0.0024806673384174917,0.4506063045370633,0.5100486320663621,0.0024697609627666473,0.45060643017666174,0.5200571237605051,-0.00020009309083941204,0.45014565401533324,0.01174580025385631,0.011634954408121241,0.009201850892871429,0.010368719367893714,0.01415594422312167,0
1780934839.4633865,0.1,0.5186525293523251,0.01793257589683191,0.4498684245148288,0.5185685235648037,0.013667356258964009,0.4542654143891429,0.5156819639237628,0.013652507572520149,0.45426526831607755,0.520237718398807,-0.0008002311006780698,0.45057922985552656,0.006126391718329164,0.006817292661953597,0.01881319022790684,0.015595622255149223,0.013045127292748142,0
1780934839.5174897,0.15000000000000002,0.5169752928482733,0.026772763455809458,0.4497040092642407,0.5173054463360793,0.03240896949064962,0.45204155597550094,0.5173040049469404,0.03238458753060403,0.4520416449088352,0.5204672444548522,-0.0015690504647489305,0.4511344030105998,0.006110641899179068,0.006088116416194162,0.028591924884482145,0.03411273523430515,0.018933207274367307,0
1780934839.5642152,0.2,0.5146403786950727,0.03546242479936075,0.44947392888742566,0.5164841326154852,0.030668011795215756,0.45386618039396204,0.5170526928727504,0.03067560509266523,0.45386610764586255,0.5203864168764909,0.0001520685055237587,0.4512607539724972,0.006758527788655019,0.00692994493789794,0.035819421551229295,0.030815383646532753,0.002512457563943777,0
1780934839.614839,0.25,0.5116609146294777,0.043952703490325706,0.449178284305241,0.5107366028117514,0.040548055768306,0.45529099099861114,0.5120905959348162,0.040538124306076284,0.45529093442462026,0.5201041372357565,0.004291262397185363,0.45136124064187444,0.007057702286623808,0.007014874803702087,0.04060890562341551,0.037329537040395176,0.011132017903588849,0
1780934839.6656785,0.30000000000000004,0.5080536522823212,0.05219586409334763,0.44881720519717166,0.5859120131715057,-0.029564803659093516,0.5314787511249384,0.5708016228307702,-0.0294568239082523,0.5314757145924279,0.5196795173347191,0.009767346466042194,0.45149398102822047,0.13992734660116954,0.13204884869350927,0.04407385818279153,0.10270872852799284,0.11895544621378691,1
1780934839.7235632,0.35000000000000003,0.5038388729947529,0.06014556056085575,0.4483908499444482,0.5145471109991052,0.05811348547893267,0.44582963629909056,0.5319609775922902,0.05798132914813612,0.44583306079687474,0.5202916144668444,0.01263792045339978,0.45279437944433176,0.011196227294655706,0.02832099839211313,0.0504684024175858,0.04733559659624921,0.12840829599990355,0
1780934839.7662647,0.4,0.4990402737891614,0.06775709680740426,0.4478994055605757,0.5021201709020389,0.07340195827100872,0.44732966827230136,0.5039684249450864,0.07338629435218968,0.4473296075194605,0.5305234092998388,0.00530395326074668,0.4669130512385965,0.006455604367280262,0.007503279857603765,0.0724782842126689,0.07565635221495481,0.03198649103508322,0
1780934839.8150823,0.45,0.49368483413589365,0.07498767800732398,0.4473430876093033,0.48956242805743744,0.07824064194644748,0.4510593584653205,0.4871339763197453,0.07824178978979553,0.4510592089142445,0.5351592299101716,0.002502226360232635,0.47366993652304334,0.006433247651086779,0.008204421928036722,0.08756351511360859,0.09248865581207694,0.017913247138021497,0
1780934839.8637674,0.5,0.4878026642648585,0.0817966512028001,0.44672214011007083,0.48194668841304583,0.08451242254432607,0.4433945915736274,0.4790919237688214,0.08451141204583588,0.44339489655393627,0.5311673790256685,0.012761396603185027,0.46953259839676087,0.007262261797735894,0.009711718493964903,0.084656257129458,0.09242887651515035,0.012756349651120085,0
1780934839.9158595,0.55,0.4814268358748608,0.08814573386958943,0.44603683543097405,0.4820102649205644,0.0892391768532345,0.450393979320715,0.47929769616627677,0.08924054481853033,0.45039369887719294,0.526095419022428,0.025948329022338762,0.4648575856768964,0.004529979016039723,0.004971328394060126,0.07885442365500688,0.0800320902280295,0.008449276479163772,0
