Timestamp,SimTime,Ideal_X,Ideal_Y,Ideal_Z,Noisy_X,Noisy_Y,Noisy_Z,Filt_X,Filt_Y,Filt_Z,Real_X,Real_Y,Real_Z,Error_Noisy_Ideal,Error_Filt_Ideal,Error_Real_Ideal,Error_Filt_Real,Command_Step,Injected_Outlier,Rejected_By_Filter
1780928482.572145,0.0,0.52,0.0,0.44999999999999996,0.5215235853987722,-0.005199920531202478,0.45375225597903224,0.5215235853987722,-0.005199920531202478,0.45375225597903224,0.15226704010864445,0.2450553949379153,0.9643710278177164,0.006590896064296291,0.006590896064296291,0.6781277391737408,0.678018915159595,0.0,0,0
1780928482.8339272,0.05,0.5196626581734649,0.008991564872729082,0.44996710252122685,0.5099074822301958,0.0024806673384174917,0.4506063045370633,0.520988592443023,-0.004846182246802971,0.45360736557679,0.15226704010864445,0.2450553949379153,0.9643710278177164,0.01174580025385631,0.01436985950331471,0.6747718654469176,0.6777063524130836,0.0006575267790844013,0,0
1780928483.0863183,0.1,0.5186525293523251,0.01793257589683191,0.4498684245148288,0.5185685235648037,0.013667356258964009,0.4542654143891429,0.4996773788792962,0.00976659608071422,0.4478762385168131,0.15226704010864445,0.2450553949379153,0.9643710278177164,0.006126391718329164,0.020753514566984065,0.6712198078595033,0.6654484425764238,0.026467847124115103,0,0
1780928483.3439662,0.15000000000000002,0.5169752928482733,0.026772763455809458,0.4497040092642407,0.5173054463360793,0.03240896949064962,0.45204155597550094,0.5233967338580392,0.02167402196842108,0.456337971266854,0.15226704010864445,0.2450553949379153,0.9643710278177164,0.006110641899179068,0.010547109615872786,0.6674889937743315,0.6676331881509993,0.027856696017510167,0,0
1780928483.3736765,0.2,0.5146403786950727,0.03546242479936075,0.44947392888742566,0.5164841326154852,0.030668011795215756,0.45386618039396204,0.5194731333071141,0.04978763960300415,0.4518175852504647,0.15226704010864445,0.2450553949379153,0.9643710278177164,0.006758527788655019,0.015299020277741463,0.6635982761706097,0.6600612415853236,0.02874376501998177,0,0
1780928483.4219775,0.25,0.5116609146294777,0.043952703490325706,0.449178284305241,0.5107366028117514,0.040548055768306,0.45529099099861114,0.516288694332548,0.03783946036238614,0.4546730600140134,0.16422686258426808,0.24163678520389062,0.9621327500523836,0.007057702286623808,0.009432955348731653,0.6503166156676495,0.6503815956808331,0.012690680630838294,0,0
1780928483.4748387,0.30000000000000004,0.5080536522823212,0.05219586409334763,0.44881720519717166,0.5859120131715057,-0.029564803659093516,0.5314787511249384,0.5072899833435222,0.04838032570173136,0.4565191058592747,0.1604418642637382,0.24135778909662475,0.9630686036648898,0.13992734660116954,0.008629066999095972,0.648899599218882,0.6435342359304843,0.013981935732545407,1,1
1780928483.5220196,0.35000000000000003,0.5038388729947529,0.06014556056085575,0.4483908499444482,0.5145471109991052,0.05811348547893267,0.44582963629909056,0.5107299186530286,0.057721634642752845,0.4564686458759084,0.1599087267082246,0.2413172888040555,0.9631992538616789,0.011196227294655706,0.010890946434135376,0.6450882368971761,0.6430853613744588,0.00995468502139162,0,0
1780928483.5725045,0.4,0.4990402737891614,0.06775709680740426,0.4478994055605757,0.5021201709020389,0.07340195827100872,0.44732966827230136,0.5159569409908216,0.06700419811342243,0.4375483925706264,0.16315397110235058,0.25190061075028564,0.9624102531802279,0.006455604367280262,0.019846509909130748,0.6414435706889118,0.6588904246463742,0.02171321561268231,0,0
1780928483.6221008,0.45,0.49368483413589365,0.07498767800732398,0.4473430876093033,0.48956242805743744,0.07824064194644748,0.4510593584653205,0.4955376971060302,0.08547999917685238,0.4455771606513117,0.15947290475235484,0.2502019430863664,0.9636521253216758,0.006433247651086779,0.01080001864496532,0.6395097144320269,0.6391201236725745,0.028683825802278556,0,0
