Timestamp,SimTime,Ideal_X,Ideal_Y,Ideal_Z,Noisy_X,Noisy_Y,Noisy_Z,Filt_X,Filt_Y,Filt_Z,Real_X,Real_Y,Real_Z,Error_Noisy_Ideal,Error_Filt_Ideal,Error_Real_Ideal,Error_Filt_Real,Command_Step,Injected_Outlier,Rejected_By_Filter
1780929326.2555172,0.0,0.52,0.0,0.44999999999999996,0.5215235853987722,-0.005199920531202478,0.45375225597903224,0.5200700733426334,-0.00023915680298782605,0.4501725752419777,0.5199970556307619,7.972413531899714e-07,0.45000033612222967,0.006590896064296291,0.00030313110019733903,3.068856813009015e-06,0.000304262787757771,0.0,0,0
1780929326.3054035,0.05,0.5196626581734649,0.008991564872729082,0.44996710252122685,0.5099074822301958,0.0024806673384174917,0.4506063045370633,0.522505735553284,-0.009635413970548954,0.45703412849866465,0.5200054520077274,-2.6799899622836755e-05,0.4500201452170435,0.01174580025385631,0.02012437044931709,0.009025033202575266,0.012156185406904645,0.011887094357229875,0,0
1780929326.3561082,0.1,0.5186525293523251,0.01793257589683191,0.4498684245148288,0.5185685235648037,0.013667356258964009,0.4542654143891429,0.49957834818027186,0.009704648322637932,0.4480256094038995,0.5200231016126368,-8.484045075420873e-05,0.45006180550424835,0.006126391718329164,0.02085471522422593,0.018070505149830985,0.022758913153172387,0.03131862892173365,0,0
1780929326.406326,0.15000000000000002,0.5169752928482733,0.026772763455809458,0.4497040092642407,0.5173054463360793,0.03240896949064962,0.45204155597550094,0.5241443314429144,0.02786071747249997,0.45704778208837776,0.5178731660480137,0.0009474114270326605,0.4499062396137845,0.006110641899179068,0.010320356467022888,0.025841746860600086,0.028542165065453717,0.03185168724861448,0,0
1780929326.4568644,0.2,0.5146403786950727,0.03546242479936075,0.44947392888742566,0.5164841326154852,0.030668011795215756,0.45386618039396204,0.5189957690242913,0.05256494664650396,0.4511155905175541,0.5129654676794874,0.0033146405563393086,0.44948847733395125,0.006758527788655019,0.01772457986412366,0.032191389692016764,0.049644785039279896,0.025922915169654795,0,0
1780929326.5054195,0.25,0.5116609146294777,0.043952703490325706,0.449178284305241,0.5107366028117514,0.040548055768306,0.45529099099861114,0.5158387201169115,0.033010812419214317,0.45507432603466846,0.5131044312662075,0.009274114224540879,0.44959994421056615,0.007057702286623808,0.013112678863529329,0.034711181063474074,0.024512772855394365,0.020199076961012637,0,0
1780929326.5560837,0.30000000000000004,0.5080536522823212,0.05219586409334763,0.44881720519717166,0.5859120131715057,-0.029564803659093516,0.5314787511249384,0.5050302200929271,0.04658362476424528,0.45707142928423394,0.515015843250118,0.02044000085663821,0.44996922965413766,0.13992734660116954,0.01042931386863139,0.03253051049907011,0.028872876206667918,0.017465203380187706,1,1
1780929326.6060448,0.35000000000000003,0.5038388729947529,0.06014556056085575,0.4483908499444482,0.5145471109991052,0.05811348547893267,0.44582963629909056,0.5064619432052166,0.055468473932237035,0.4569116957476798,0.5167423109029232,0.032299998528629234,0.4503806000725006,0.011196227294655706,0.010067792700640768,0.030754400340644996,0.026174786021015976,0.009000882768424881,0,0
1780929326.655311,0.4,0.4990402737891614,0.06775709680740426,0.4478994055605757,0.5021201709020389,0.07340195827100872,0.44732966827230136,0.5206574587722852,0.06871894304408896,0.4338152858348703,0.5158547934556965,0.03698257574596307,0.451213819523971,0.006455604367280262,0.02581840938604901,0.03522477193819903,0.03650988329145261,0.030175018554419383,0,0
1780929326.7052937,0.45,0.49368483413589365,0.07498767800732398,0.4473430876093033,0.48956242805743744,0.07824064194644748,0.4510593584653205,0.49145065817658523,0.08832492178847297,0.4471092758738789,0.5133628436250093,0.04204979174858736,0.45279276309642924,0.006433247651086779,0.013525098218592399,0.038753417546871616,0.05151537205867141,0.03760534236939583,0,0
